date,beta_hat,gamma_hat
2015-02-18,1.7142857142857169,1.9285714285714306
2015-02-19,1.2000000000000015,1.5000000000000016
2015-02-20,1.2000000000000015,1.5000000000000016
2015-02-23,1.200000000000001,1.5000000000000013
2015-02-24,1.2000000000000035,1.500000000000003
2015-02-25,1.2000000000000015,1.5000000000000016
2015-02-26,1.2000000000000015,1.5000000000000016
2015-02-27,1.200000000000001,1.5000000000000013
2015-03-02,1.2000000000000035,1.500000000000003
2015-03-03,1.2000000000000015,1.5000000000000016
2015-03-04,1.2000000000000015,1.5000000000000016
2015-03-05,1.200000000000001,1.5000000000000013
2015-03-06,1.2000000000000035,1.500000000000003
2015-03-09,1.2000000000000015,1.5000000000000016
2015-03-10,1.2000000000000015,1.5000000000000016
2015-03-11,1.200000000000001,1.5000000000000013
2015-03-12,1.2000000000000035,1.500000000000003
2015-03-13,1.2000000000000015,1.5000000000000016
2015-03-16,1.2000000000000015,1.5000000000000016
2015-03-17,1.2000000000000024,1.5000000000000022
2015-03-18,1.2000000000000035,1.500000000000003
2015-03-19,1.2000000000000024,1.5000000000000022
2015-03-20,1.2000000000000748,1.5000000000000677
2015-03-23,1.1999999999999735,1.4999999999999762
2015-03-24,1.7142857142857169,1.9285714285714315
2015-03-25,1.7142857142857157,1.9285714285714306
2015-03-26,1.7142857142857504,1.9285714285714615
2015-03-27,1.7142857142857055,1.9285714285714202
2015-03-30,1.3846153846154163,1.653846153846183
2015-03-31,0.9999999999999862,1.3333333333333204
2015-04-01,0.5454545454545383,0.9545454545454484
2015-04-02,1.199999999999998,1.499999999999998
2015-04-06,1.199999999999977,1.4999999999999793
2015-04-07,2.000000000000004,2.1666666666666705
2015-04-08,2.000000000000004,2.1666666666666705
2015-04-09,2.000000000000004,2.1666666666666705
2015-04-10,2.000000000000004,2.1666666666666705
2015-04-13,2.000000000000004,2.1666666666666705
2015-04-14,2.000000000000004,2.1666666666666705
2015-04-15,2.000000000000004,2.1666666666666705
2015-04-16,2.000000000000004,2.1666666666666705
2015-04-17,2.000000000000004,2.1666666666666705
2015-04-20,2.000000000000004,2.1666666666666705
2015-04-21,2.000000000000004,2.1666666666666705
2015-04-22,2.000000000000007,2.166666666666673
2015-04-23,2.000000000000048,2.1666666666667096
2015-04-24,1.999999999999955,2.166666666666625
2015-04-27,,
2015-04-28,,
2015-04-29,,
2015-04-30,,
2015-05-01,,
2015-05-04,,
2015-05-05,,
2015-05-06,,
2015-05-07,,
2015-05-08,,
2015-05-11,,
2015-05-12,,
2015-05-13,,
2015-05-14,,
2015-05-15,,
2015-05-18,,
2015-05-19,,
2015-05-20,,
2015-05-21,,
2015-05-22,,
2015-05-26,,
2015-05-27,,
2015-05-28,,
2015-05-29,,
2015-06-01,,
2015-06-02,,
2015-06-03,,
2015-06-04,,
2015-06-05,,
2015-06-08,,
2015-06-09,,
2015-06-10,,
2015-06-11,,
2015-06-12,,
2015-06-15,,
2015-06-16,,
2015-06-17,,
2015-06-18,,
2015-06-19,,
2015-06-22,,
2015-06-23,,
2015-06-24,,
2015-06-25,,
2015-06-26,,
2015-06-29,,
2015-06-30,,
2015-07-01,,
2015-07-02,,
2015-07-06,,
2015-07-07,,
2015-07-08,,
2015-07-09,,
2015-07-10,,
2015-07-13,,
2015-07-14,,
2015-07-15,,
2015-07-16,,
2015-07-17,,
2015-07-20,,
2015-07-21,,
2015-07-22,,
2015-07-23,,
2015-07-24,0.8481856648288238,0.06936786767534293
2015-07-27,0.7495356858583175,0.04784646679048374
2015-07-28,0.7880526493418831,0.056249296883788914
2015-07-29,0.789323058688058,0.057292572437768766
2015-07-30,0.7903635475756836,0.05814703452427386
2015-07-31,0.7912313535298912,0.05885968729272898
2015-08-03,0.7919661711622682,0.059463128439317205
2015-08-04,0.7925963948186839,0.0599806757450406
2015-08-05,0.7931428726059923,0.06042944992795148
2015-08-06,0.7936212571194157,0.06082230508897486
2015-08-07,0.7940435289761892,0.06116907985620391
2015-08-10,0.794419013935542,0.06147743265615786
2015-08-11,0.7947550796803868,0.061753413919348674
2015-08-12,0.8442139349000487,0.10236962532701044
2015-08-13,0.5487437816144806,0.07798587015592988
