Centrality,Infection metric,Pearson r,Pearson p,Spearman rho,Spearman p
degree,infection_fraction,-0.2015462614944481,0.5299075541469827,-0.19432508268938875,0.5450527029269673
betweenness,infection_fraction,-0.20154626149444807,0.5299075541469827,-0.19432508268938875,0.5450527029269673
eigenvector,infection_fraction,-0.20154626149444813,0.5299075541469827,-0.19432508268938875,0.5450527029269673
clustering,infection_fraction,0.20154626149444813,0.5299075541469827,0.19432508268938875,0.5450527029269673
